ID_INGRESOS;FECHA;CUENTA_CONTABLE;TIPO_OPERACION;REFERENCIA;BENEFICIARIO;DESCRIPCION;INGRESO;EGRESO
792;2026-04-01;Ingresos por Cuotas;TRANSF;14262115654811;INGRESO PARTICULAR;FACT#10932;9500;0
793;2026-04-01;Ingresos por Cuotas;TRANSF;13275615598659;INGRESO PARTICULAR;FACT#10933;9478,2;0
794;2026-04-01;Ingresos por Cuotas;TRANSF;141912844;INGRESO PARTICULAR;FACT#10934;23696;0
795;2026-04-01;Ingresos por Cuotas;TRANSF;15264811630810;INGRESO PARTICULAR;FACT#10935;9480;0
796;2026-04-01;Ingresos por Cuotas;TRANSF;722089561;INGRESO PARTICULAR;FACT#10936;9480;0
797;2026-04-01;Ingresos por Cuotas;TRANSF;60918327438;INGRESO PARTICULAR;FACT#10937;9500;0
798;2026-04-01;Ingresos por Cuotas;TRANSF;60916293289;INGRESO PARTICULAR;FACT#10938;11847,75;0
799;2026-04-02;Ingresos por Cuotas;TRANSF;24893343594;INGRESO PARTICULAR;FACT#10939;21322;0
800;2026-04-03;Ingresos por Cuotas;TRANSF;60931445171;INGRESO PARTICULAR;FACT#10940;9482;0
801;2026-04-04;Ingresos por Cuotas;TRANSF;103043841;INGRESO PARTICULAR;FACT#10941;11850;0
802;2026-04-04;Ingresos por Cuotas;TRANSF;60943797867;INGRESO PARTICULAR;FACT#10942;9481;0
803;2026-04-06;Ingresos por Cuotas;TRANSF;8502468356205;INGRESO PARTICULAR;FACT#10943;11852;0
804;2026-04-06;Ingresos por Cuotas;TRANSF;10144517572425;INGRESO PARTICULAR;FACT#10944;11852;0
805;2026-04-06;Ingresos por Cuotas;TRANSF;60968786733;INGRESO PARTICULAR;FACT#10945;9500;0
806;2026-04-06;Ingresos por Cuotas;TRANSF;16263813497751;INGRESO PARTICULAR;FACT#10946;9500;0
807;2026-04-06;Ingresos por Cuotas;TRANSF;17240917868351;INGRESO PARTICULAR;FACT#10947;18962;0
808;2026-04-07;Ingresos por Cuotas;TRANSF;82325308;INGRESO PARTICULAR;FACT#10948;4746;0
809;2026-04-07;Ingresos por Cuotas;TRANSF;76247991;INGRESO PARTICULAR;FACT#10949;9490,6;0
810;2026-04-07;Ingresos por Cuotas;TRANSF;102506922;INGRESO PARTICULAR;FACT#10950;21353,85;0
811;2026-04-07;Ingresos por Cuotas;TRANSF;11031413891518;INGRESO PARTICULAR;FACT#10951;9491;0
812;2026-04-07;Ingresos por Cuotas;TRANSF;60971979116;INGRESO PARTICULAR;FACT#10952;9490,6;0
813;2026-04-07;Ingresos por Cuotas;TRANSF;140825615;INGRESO PARTICULAR;FACT#10953;9490,6;0
814;2026-04-07;Ingresos por Cuotas;TRANSF;24929543966;INGRESO PARTICULAR;FACT#10954;11864;0
815;2026-04-07;Ingresos por Cuotas;TRANSF;18000173443151;INGRESO PARTICULAR;FACT#10955;9500;0
816;2026-04-07;Ingresos por Cuotas;TRANSF;60973494841;INGRESO PARTICULAR;FACT#10956;9500;0
817;2026-04-07;Ingresos por Cuotas;TRANSF;18162718463933;INGRESO PARTICULAR;FACT#10957;9490,6;0
818;2026-04-07;Ingresos por Cuotas;TRANSF;18192473511245;INGRESO PARTICULAR;FACT#10958;18981,35;0
819;2026-04-07;Ingresos por Cuotas;TRANSF;20403618544952;INGRESO PARTICULAR;FACT#10959;9520;0
820;2026-04-09;Ingresos por Cuotas;TRANSF;109958270535;INGRESO PARTICULAR;FACT#10960;9519;0
821;2026-04-09;Ingresos por Cuotas;TRANSF;60997417839;INGRESO PARTICULAR;FACT#10961;9519,17;0
822;2026-04-09;Ingresos por Cuotas;TRANSF;60997527356;INGRESO PARTICULAR;FACT#10962;9519;0
823;2026-04-09;Ingresos por Cuotas;TRANSF;15062719461974;INGRESO PARTICULAR;FACT#10963;9520;0
824;2026-04-09;Ingresos por Cuotas;TRANSF;16571215452400;INGRESO PARTICULAR;FACT#10964;9519;0
825;2026-04-10;Ingresos por Cuotas;TRANSF;11131201163786;INGRESO PARTICULAR;FACT#10965;9540;0
826;2026-04-10;Ingresos por Cuotas;TRANSF;150200107;INGRESO PARTICULAR;FACT#10966;9491;0
827;2026-04-13;Ingresos por Cuotas;TRANSF;61644556;INGRESO PARTICULAR;FACT#10967;9543;0
828;2026-04-13;Ingresos por Cuotas;TRANSF;10263317007272;INGRESO PARTICULAR;FACT#10968;11928,75;0
829;2026-04-15;Ingresos por Cuotas;TRANSF;15135522971016;INGRESO PARTICULAR;FACT#10969;9571,6;0
830;2026-04-15;Ingresos por Cuotas;TRANSF;15153022972264;INGRESO PARTICULAR;FACT#10970;9571,6;0
831;2026-04-17;Ingresos por Cuotas;TRANSF;10541624172926;INGRESO PARTICULAR;FACT#10971;12006,25;0
836;2026-04-17;Ingresos por Cuotas;TRANSF;61074728353;INGRESO PARTICULAR;FACT#10976;12006;0
837;2026-04-20;Ingresos por Cuotas;TRANSF;61105384590;INGRESO PARTICULAR;FACT#10977;9633,8;0
838;2026-04-20;Ingresos por Cuotas;TRANSF;111051727455;INGRESO PARTICULAR;FACT#10978;12032;0
839;2026-04-23;Ingresos por Cuotas;TRANSF;61133130880;INGRESO PARTICULAR;FACT#10979;84700;0
840;2026-04-23;Ingresos por Cuotas;TRANSF;111352680897;INGRESO PARTICULAR;FACT#10980;50000;0
842;2026-04-23;Ingresos por Cuotas;TRANSF;742188508;INGRESO PARTICULAR;FACT#10982;24166,5;0
843;2026-04-24;Ingresos por Cuotas;TRANSF;151954002;INGRESO PARTICULAR;FACT#10983;8724,8;0
844;2026-04-27;Ingresos por Cuotas;TRANSF;8432429865808;INGRESO PARTICULAR;FACT#10984;12125;0
845;2026-04-27;Ingresos por Cuotas;TRANSF;9415124644704;INGRESO PARTICULAR;FACT#10985;12120;0
846;2026-04-27;Ingresos por Cuotas;TRANSF;61175519100;INGRESO PARTICULAR;FACT#10986;9694,8;0
847;2026-04-28;Ingresos por Cuotas;TRANSF;61188419854;INGRESO PARTICULAR;FACT#10987;24280;0
848;2026-04-28;Ingresos por Cuotas;TRANSF;61189790762;INGRESO PARTICULAR;FACT#10988;9723,8;0
849;2026-04-29;Ingresos por Cuotas;TRANSF;25130785531;INGRESO PARTICULAR;FACT#10989;24310;0
850;2026-04-30;Ingresos por Cuotas;TRANSF;8212503549283;INGRESO PARTICULAR;FACT#10990;19800;0
852;2026-04-30;Ingresos por Cuotas;TRANSF;141317226;INGRESO PARTICULAR;FACT#10992;12177,75;0
853;2026-04-30;Ingresos por Cuotas;TRANSF;61205225668;INGRESO PARTICULAR;FACT#10993;24400;0
854;2026-04-30;Ingresos por Cuotas;TRANSF;61205383567;INGRESO PARTICULAR;FACT#10994;12177,75;0
855;2026-04-30;Ingresos por Cuotas;TRANSF;214645790;INGRESO PARTICULAR;FACT#10995;9742,2;0
856;2026-05-01;Ingresos por Cuotas;TRANSF;205233463;INGRESO PARTICULAR;FACT#10996;12150;0
857;2026-05-04;Ingresos por Cuotas;TRANSF;6295534181483;INGRESO PARTICULAR;FACT#10997;9791;0
858;2026-05-04;Ingresos por Cuotas;TRANSF;112456082209;INGRESO PARTICULAR;FACT#10998;9791;0
859;2026-05-04;Ingresos por Cuotas;TRANSF;8484634240079;INGRESO PARTICULAR;FACT#10999;12250;0
860;2026-05-04;Ingresos por Cuotas;TRANSF;61246873726;INGRESO PARTICULAR;FACT#11000;9791;0
861;2026-05-04;Ingresos por Cuotas;TRANSF;112456123456;INGRESO PARTICULAR;FACT#11001;19582;0
862;2026-05-04;Ingresos por Cuotas;TRANSF;11043128360453;INGRESO PARTICULAR;FACT#11002;9791;0
851;2026-04-30;Ingresos por Cuotas;TRANSF;8212503549283;INGRESO PARTICULAR;FACT#10991;9900;0
864;2026-05-04;Ingresos por Cuotas;TRANSF;61249715286;INGRESO PARTICULAR;FACT#11003;9820;0
865;2026-05-05;Ingresos por Cuotas;TRANSF;10043650497770;INGRESO PARTICULAR;FACT#11004;9800;0
866;2026-05-05;Ingresos por Cuotas;TRANSF;12471435080002;INGRESO PARTICULAR;FACT#11005;9800,8;0
867;2026-05-05;Ingresos por Cuotas;TRANSF;15191229290019;INGRESO PARTICULAR;FACT#11006;9800,88;0
868;2026-05-05;Ingresos por Cuotas;TRANSF;155559712;INGRESO PARTICULAR;FACT#11007;9800,88;0
869;2026-05-05;Ingresos por Cuotas;TRANSF;17102435276286;INGRESO PARTICULAR;FACT#11008;9883;0
870;2026-05-05;Ingresos por Cuotas;TRANSF;61252262888;INGRESO PARTICULAR;FACT#11009;9800,8;0
871;2026-05-05;Ingresos por Cuotas;TRANSF;22320053096760;INGRESO PARTICULAR;FACT#11010;49000;0
872;2026-05-06;Ingresos por Cuotas;TRANSF;61264450947;INGRESO PARTICULAR;FACT#11011;9867,4;0
873;2026-05-06;Ingresos por Cuotas;TRANSF;9322035565667;INGRESO PARTICULAR;FACT#11012;9867,4;0
874;2026-05-06;Ingresos por Cuotas;TRANSF;25200613204;INGRESO PARTICULAR;FACT#11013;9875;0
875;2026-05-06;Ingresos por Cuotas;TRANSF;14003264691673;INGRESO PARTICULAR;FACT#11014;12340;0
876;2026-05-06;Ingresos por Cuotas;TRANSF;15104864940568;INGRESO PARTICULAR;FACT#11015;37003,24;0
877;2026-05-06;Ingresos por Cuotas;TRANSF;61264982336;INGRESO PARTICULAR;FACT#11016;9867,53;0
880;2026-05-06;Ingresos por Cuotas;TRANSF;153758077;INGRESO PARTICULAR;FACT#11019;9868;0
881;2026-05-06;Ingresos por Cuotas;TRANSF;61265750681;INGRESO PARTICULAR;FACT#11020;9867,4;0
883;2026-05-07;Ingresos por Cuotas;TRANSF;755451093;INGRESO PARTICULAR;FACT#11022;34778;0
884;2026-05-07;Ingresos por Cuotas;TRANSF;61276736143;INGRESO PARTICULAR;FACT#11023;22365;0
885;2026-05-07;Ingresos por Cuotas;TRANSF;9213776796067;INGRESO PARTICULAR;FACT#11024;9937;0
886;2026-05-07;Ingresos por Cuotas;TRANSF;61276935592;INGRESO PARTICULAR;FACT#11025;24842;0
887;2026-05-07;Ingresos por Cuotas;TRANSF;61276953950;INGRESO PARTICULAR;FACT#11026;9940;0
888;2026-05-07;Ingresos por Cuotas;TRANSF;61276954593;INGRESO PARTICULAR;FACT#11027;9937;0
889;2026-05-07;Ingresos por Cuotas;TRANSF;11410577323501;INGRESO PARTICULAR;FACT#11028;22365;0
890;2026-05-07;Ingresos por Cuotas;TRANSF;12151136289202;INGRESO PARTICULAR;FACT#11029;12420,75;0
891;2026-05-07;Ingresos por Cuotas;TRANSF;13551230508449;INGRESO PARTICULAR;FACT#11030;9937;0
892;2026-05-07;Ingresos por Cuotas;TRANSF;14591836407211;INGRESO PARTICULAR;FACT#11031;9936,6;0
893;2026-05-08;Ingresos por Cuotas;TRANSF;756616374;INGRESO PARTICULAR;FACT#11032;22493,74;0
894;2026-05-08;Ingresos por Cuotas;TRANSF;768524868;INGRESO PARTICULAR;FACT#11033;9992,2;0
895;2026-05-08;Ingresos por Cuotas;TRANSF;61280704923;INGRESO PARTICULAR;FACT#11034;10000;0
896;2026-05-08;Ingresos por Cuotas;TRANSF;61281374406;INGRESO PARTICULAR;FACT#11035;10000;0
897;2026-05-08;Ingresos por Cuotas;TRANSF;16441237320496;INGRESO PARTICULAR;FACT#11036;12500;0
901;2026-05-09;Ingresos por Cuotas;TRANSF;757784613;INGRESO PARTICULAR;FACT#11038;10010;0
902;2026-05-11;Ingresos por Cuotas;TRANSF;65717244;INGRESO PARTICULAR;FACT#11039;10010;0
903;2026-05-12;Ingresos por Cuotas;TRANSF;776541941;INGRESO PARTICULAR;FACT#11040;12623;0
904;2026-05-12;Ingresos por Cuotas;TRANSF;61324813865;INGRESO PARTICULAR;FACT#11041;37868,6;0
905;2026-05-13;Ingresos por Cuotas;TRANSF;201931494;INGRESO PARTICULAR;FACT#11042;12775;0
906;2026-05-15;Ingresos por Cuotas;TRANSF;111730467;INGRESO PARTICULAR;FACT#11043;12880;0
907;2026-05-15;Ingresos por Cuotas;TRANSF;112119648;INGRESO PARTICULAR;FACT#11044;12880;0
908;2026-05-18;Ingresos por Cuotas;TRANSF;61384060066;INGRESO PARTICULAR;FACT#11045;10360;0
909;2026-05-18;Ingresos por Cuotas;TRANSF;767346962;INGRESO PARTICULAR;FACT#11046;25800;0
910;2026-05-18;Ingresos por Cuotas;TRANSF;16401285415412;INGRESO PARTICULAR;FACT#11047;25898;0
911;2026-05-19;Ingresos por Cuotas;TRANSF;200714449;INGRESO PARTICULAR;FACT#11048;13022;0
912;2026-05-21;Ingresos por Cuotas;TRANSF;7581638187566;INGRESO PARTICULAR;FACT#11049;13500;0
913;2026-05-21;Ingresos por Cuotas;TRANSF;103552689;INGRESO PARTICULAR;FACT#11050;39275,63;0
914;2026-05-21;Ingresos por Cuotas;TRANSF;142110190;INGRESO PARTICULAR;FACT#11051;13091,75;0
915;2026-05-25;Ingresos por Cuotas;TRANSF;61456123409;INGRESO PARTICULAR;FACT#11052;39787,5;0
916;2026-05-26;Ingresos por Cuotas;TRANSF;114653588133;INGRESO PARTICULAR;FACT#11053;26750;0
917;2026-05-26;Ingresos por Cuotas;TRANSF;14593160058773;INGRESO PARTICULAR;FACT#11054;53600;0
918;2026-05-26;Ingresos por Cuotas;TRANSF;173301108;INGRESO PARTICULAR;FACT#11055;13384,5;0
919;2026-05-27;Ingresos por Cuotas;TRANSF;13013048450981;INGRESO PARTICULAR;FACT#11056;27000;0
921;2026-05-27;Ingresos por Cuotas;TRANSF;173103524;INGRESO PARTICULAR;FACT#11057;13500;0
922;2026-05-28;Ingresos por Cuotas;TRANSF;61484999143;INGRESO PARTICULAR;FACT#11058;13614,38;0
923;2026-05-28;Ingresos por Cuotas;TRANSF;120235286;INGRESO PARTICULAR;FACT#11059;10891,59;0
924;2026-05-28;Ingresos por Cuotas;TRANSF;163442849;INGRESO PARTICULAR;FACT#11060;9988;0
925;2026-05-28;Ingresos por Cuotas;TRANSF;20012787238254;INGRESO PARTICULAR;FACT#11061;21800;0
927;2026-05-29;Ingresos por Cuotas;TRANSF;114954430308;INGRESO PARTICULAR;FACT#11063;96250;0
928;2026-05-29;Ingresos por Cuotas;TRANSF;812990384;INGRESO PARTICULAR;FACT#11064;13734,25;0
931;2026-05-29;Ingresos por Cuotas;TRANSF;21541850272171;INGRESO PARTICULAR;FACT#11067;27468,5;0
932;2026-06-01;Ingresos por Cuotas;TRANSF;7043651732407;INGRESO PARTICULAR;FACT#11068;11090;0
933;2026-06-01;Ingresos por Cuotas;TRANSF;9280951826895;INGRESO PARTICULAR;FACT#11069;13861;0
934;2026-06-01;Ingresos por Cuotas;TRANSF;61529530309;INGRESO PARTICULAR;FACT#11070;11100;0
935;2026-06-01;Ingresos por Cuotas;TRANSF;11445444430076;INGRESO PARTICULAR;FACT#11071;11088,4;0
936;2026-06-01;Ingresos por Cuotas;TRANSF;61521475394;INGRESO PARTICULAR;FACT#11072;11090;0
937;2026-06-01;Ingresos por Cuotas;TRANSF;21301222263019;INGRESO PARTICULAR;FACT#11073;22177,03;0
938;2026-06-02;Ingresos por Cuotas;TRANSF;61533035658;INGRESO PARTICULAR;FACT#11074;160425;0
939;2026-06-02;Ingresos por Cuotas;TRANSF;825883067;INGRESO PARTICULAR;FACT#11075;11159,4;0
940;2026-06-02;Ingresos por Cuotas;TRANSF;61533511893;INGRESO PARTICULAR;FACT#11076;11159,4;0
941;2026-06-02;Ingresos por Cuotas;TRANSF;13214333946800;INGRESO PARTICULAR;FACT#11077;11159,4;0
942;2026-06-02;Ingresos por Cuotas;TRANSF;13313733985388;INGRESO PARTICULAR;FACT#11078;11159;0
943;2026-06-02;Ingresos por Cuotas;TRANSF;14002734095809;INGRESO PARTICULAR;FACT#11079;11159,48;0
944;2026-06-02;Ingresos por Cuotas;TRANSF;15255434415609;INGRESO PARTICULAR;FACT#11080;27898,5;0
945;2026-06-02;Ingresos por Cuotas;TRANSF;163431814;INGRESO PARTICULAR;FACT#11081;11160;0
946;2026-06-02;Ingresos por Cuotas;TRANSF;61534876441;INGRESO PARTICULAR;FACT#11082;11172,8;0
947;2026-06-02;Ingresos por Cuotas;TRANSF;61534937686;INGRESO PARTICULAR;FACT#11083;11159,4;0
948;2026-06-02;Ingresos por Cuotas;TRANSF;19244653024431;INGRESO PARTICULAR;FACT#11084;11173;0
949;2026-06-02;Ingresos por Cuotas;TRANSF;61535449168;INGRESO PARTICULAR;FACT#11085;39105;0
947;2026-06-02;Ingresos por Cuotas;TRANSF;61534937686;INGRESO PARTICULAR;FACT#11083;11159,4;0
947;2026-06-02;Ingresos por Cuotas;TRANSF;61534937686;INGRESO PARTICULAR;FACT#11083;11159,4;0
950;2026-06-03;Ingresos por Cuotas;TRANSF;104046873;INGRESO PARTICULAR;FACT#11086;13966;0
951;2026-06-03;Ingresos por Cuotas;TRANSF;61546891299;INGRESO PARTICULAR;FACT#11087;11173;0
952;2026-06-03;Ingresos por Cuotas;TRANSF;12343853364852;INGRESO PARTICULAR;FACT#11088;11172,8;0
953;2026-06-04;Ingresos por Cuotas;TRANSF;115556781127;INGRESO PARTICULAR;FACT#11089;11207,4;0
954;2026-06-04;Ingresos por Cuotas;TRANSF;61559266400;INGRESO PARTICULAR;FACT#11090;11207,51;0
955;2026-06-04;Ingresos por Cuotas;TRANSF;8363746272557;INGRESO PARTICULAR;FACT#11091;14010;0
956;2026-06-04;Ingresos por Cuotas;TRANSF;9230653852997;INGRESO PARTICULAR;FACT#11092;11207,51;0
926;2026-05-28;Ingresos por Cuotas;TRANSF;20012787238254;INGRESO PARTICULAR;FACT#11062;10900;0
957;2026-06-04;Ingresos por Cuotas;TRANSF;9283353856626;INGRESO PARTICULAR;FACT#11093;14010;0
958;2026-06-04;Ingresos por Cuotas;TRANSF;784503527;INGRESO PARTICULAR;FACT#11094;11208;0
959;2026-06-05;Ingresos por Cuotas;TRANSF;21520147559283;INGRESO PARTICULAR;FACT#11095;11354;0
960;2026-06-08;Ingresos por Cuotas;TRANSF;63931180;INGRESO PARTICULAR;FACT#11096;11354;0
961;2026-06-08;Ingresos por Cuotas;TRANSF;115958459878;INGRESO PARTICULAR;FACT#11097;56328,92;0
962;2026-06-08;Ingresos por Cuotas;TRANSF;115958460990;INGRESO PARTICULAR;FACT#11098;11265,78;0
963;2026-06-08;Ingresos por Cuotas;TRANSF;61592668896;INGRESO PARTICULAR;FACT#11099;11354;0
964;2026-06-08;Ingresos por Cuotas;TRANSF;788837103;INGRESO PARTICULAR;FACT#11100;11360;0
965;2026-06-08;Ingresos por Cuotas;TRANSF;61594194183;INGRESO PARTICULAR;FACT#11101;11360;0
966;2026-06-08;Ingresos por Cuotas;TRANSF;19335156845481;INGRESO PARTICULAR;FACT#11102;11353,6;0
968;2026-06-09;Ingresos por Cuotas;TRANSF;61607101008;INGRESO PARTICULAR;FACT#11104;11360;0
969;2026-06-09;Ingresos por Cuotas;TRANSF;205811604;INGRESO PARTICULAR;FACT#11105;11353,6;0
970;2026-06-09;Ingresos por Cuotas;TRANSF;61607922865;INGRESO PARTICULAR;FACT#11106;128850,75;0
971;2026-06-10;Ingresos por Cuotas;TRANSF;61619114805;INGRESO PARTICULAR;FACT#11107;11454;0
972;2026-06-10;Ingresos por Cuotas;TRANSF;114736287;INGRESO PARTICULAR;FACT#11108;42950,88;0
973;2026-06-10;Ingresos por Cuotas;TRANSF;144532096;INGRESO PARTICULAR;FACT#11109;11460;0
974;2026-06-10;Ingresos por Cuotas;TRANSF;15140010182902;INGRESO PARTICULAR;FACT#11110;11454;0
975;2026-06-10;Ingresos por Cuotas;TRANSF;221125931;INGRESO PARTICULAR;FACT#11111;14325;0
976;2026-06-11;Ingresos por Cuotas;TRANSF;25541363471;INGRESO PARTICULAR;FACT#11112;11551;0
977;2026-06-11;Ingresos por Cuotas;TRANSF;11310550388594;INGRESO PARTICULAR;FACT#11113;14438,5;0
978;2026-06-11;Ingresos por Cuotas;TRANSF;61623352685;INGRESO PARTICULAR;FACT#11114;11600;0
981;2026-06-12;Ingresos por Cuotas;TRANSF;16212637001400;INGRESO PARTICULAR;FACT#11117;26220,6;0
982;2026-06-15;Ingresos por Cuotas;TRANSF;61666115151;INGRESO PARTICULAR;FACT#11118;11760;0
984;2026-06-16;Ingresos por Cuotas;TRANSF;61670418030;INGRESO PARTICULAR;FACT#11120;30000;0
985;2026-06-17;Ingresos por Cuotas;TRANSF;21254963147258;INGRESO PARTICULAR;FACT#11121;15059;0
986;2026-06-18;Ingresos por Cuotas;TRANSF;116952069050;INGRESO PARTICULAR;FACT#11122;15059;0
988;2026-06-23;Ingresos por Cuotas;TRANSF;141640302;INGRESO PARTICULAR;FACT#11124;6176,3;0
989;2026-06-24;Ingresos por Cuotas;TRANSF;117554310061;INGRESO PARTICULAR;FACT#11125;34200;0
990;2026-06-24;Ingresos por Cuotas;TRANSF;213046879;INGRESO PARTICULAR;FACT#11126;15539;0
991;2026-06-26;Ingresos por Cuotas;TRANSF;61772516879;INGRESO PARTICULAR;FACT#11127;12444,27;0
992;2026-06-26;Ingresos por Cuotas;TRANSF;880118742;INGRESO PARTICULAR;FACT#11128;149331,24;0
993;2026-06-26;Ingresos por Cuotas;TRANSF;880008617;INGRESO PARTICULAR;FACT#11129;15575;0
994;2026-06-29;Ingresos por Cuotas;TRANSF;61800407087;INGRESO PARTICULAR;FACT#11130;105777;0
995;2026-06-09;Ingresos por Cuotas;TRANSF;114857140;INGRESO PARTICULAR;FACT#11131;36900;0
996;2026-06-30;Ingresos por Cuotas;TRANSF;112850142;INGRESO PARTICULAR;FACT#11132;12460,4;0
997;2026-06-30;Ingresos por Cuotas;TRANSF;17180614526066;INGRESO PARTICULAR;FACT#11133;12460,4;0
998;2026-04-09;Cuentas Por Pagar;TRANSF;13374419404769;INGRESO PARTICULAR;INGRESO RECIBIDO POR EQUIVOCACION EN LA CUENTA EN FONDO PARA EL PAGO DE FACTURAS EN FARMACIA VETERINARIA;29938;0
999;2026-04-13;Cuentas Por Cobrar;TRANSF;61031242110;INGRESO PARTICULAR;DEVOLUCION DE PAGO PARA LA COMPRA DE PANTALLA DE COMPUTADOR PARA EL FONDO DE UGAVI PARA DESARROLLO;70000;0
1000;2026-05-12;Cuentas Por Cobrar;TRANSF;14413439655638;INGRESO PARTICULAR;DEVOLUCION DE PAGO A LA CTA. DE UGAVI 374 MERCANTIL PARA EL PAGO DE NOMINA;14000;0
1001;2026-06-26;Cuentas Por Cobrar;TRANSF;173917490;INGRESO PARTICULAR;DEVOLUCION DE PAGO A LA CTA. DE UGAVI 727 BNC PARA EL PAGO DE NOMINA;150000;0
